m,trial,total_distance,fitness,balance_metric,exec_time,memory_current_MB,memory_peak_MB,converged_gen,convergence_speed
1,1,779.5700000000003,779.5700000000003,0.0,140.84045791625977,0.987849,1.710914,49,16.857142857142847
1,2,721.5400000000003,721.5400000000003,0.0,122.83286929130554,0.779611,1.511452,27,31.1381481481481
1,3,799.5600000000003,799.5600000000003,0.0,139.0060634613037,0.696995,1.43099,22,38.00454545454546
1,4,852.9000000000002,852.9000000000002,0.0,128.52774286270142,0.840768,1.58092,11,69.00636363636364
1,5,655.5000000000003,655.5000000000003,0.0,119.68059730529785,0.919158,1.583147,17,57.57705882352943
1,6,848.3899999999995,848.3899999999995,0.0,115.03974962234497,0.734689,1.399593,27,28.42185185185185
1,7,676.66,676.66,0.0,117.5227439403534,0.886112,1.550328,33,29.64212121212121
1,8,791.5700000000003,791.5700000000003,0.0,116.03807234764099,0.691222,1.387206,30,26.882999999999996
1,9,916.1099999999999,916.1099999999999,0.0,163.76990246772766,0.796583,1.460431,24,28.210416666666646
1,10,891.6199999999999,891.6199999999999,0.0,173.02062106132507,1.028021,1.697422,17,42.23411764705878
1,11,636.09,636.09,0.0,162.6590235233307,0.73745,1.408503,21,44.996666666666655
1,12,672.4400000000002,672.4400000000002,0.0,120.70550870895386,0.878651,1.557201,32,29.105312499999993
1,13,789.32,789.32,0.0,135.16378355026245,0.738781,1.416853,27,31.659259259259237
1,14,601.8900000000002,601.8900000000002,0.0,192.5924859046936,0.928918,1.614142,17,60.26882352941172
1,15,617.2300000000001,617.2300000000001,0.0,199.82704138755798,0.727748,1.406541,21,46.59714285714285
1,16,843.3199999999997,843.3199999999997,0.0,117.92807221412659,0.776733,1.474678,19,40.15789473684212
1,17,739.5800000000002,739.5800000000002,0.0,128.2816321849823,0.801193,1.504011,35,25.135714285714286
1,18,966.69,966.69,0.0,151.75786685943604,0.738695,1.44514,35,18.63942857142856
1,19,782.5899999999999,782.5899999999999,0.0,121.29352807998657,1.242424,1.956428,19,43.67368421052631
1,20,639.6900000000004,639.6900000000004,0.0,139.00920796394348,0.742092,1.454778,8,125.42625
2,1,1239.4299999999998,626.8199999999999,14.150000000000091,159.46773076057434,0.922118,1.654725,34,6.4050000000000065
2,2,1130.38,565.9500000000002,0.6200000000000045,118.35694408416748,0.733854,1.465066,26,11.427692307692313
2,3,1115.8000000000006,559.3600000000002,2.919999999999959,118.35449552536011,0.891054,1.631506,21,12.655714285714252
2,4,1133.0099999999998,566.92,0.8300000000000409,178.8275923728943,0.736738,1.476857,5,50.19999999999991
2,5,1132.01,567.57,3.130000000000109,136.97792959213257,0.979437,1.658217,22,13.99999999999999
2,6,1162.3700000000001,581.6,0.8299999999999272,116.19720029830933,0.830969,1.497055,14,18.770714285714284
2,7,1143.4500000000003,572.0300000000002,0.6100000000001273,150.0010702610016,0.965408,1.628327,19,15.091052631578936
2,8,1145.85,578.1000000000001,10.35000000000025,178.73549342155457,0.833316,1.496407,20,13.307000000000006
2,9,1095.07,549.55,4.029999999999973,177.92027807235718,0.944581,1.609469,22,14.087727272727276
2,10,1060.8899999999999,536.3800000000001,4.730000000000246,178.9813678264618,0.829249,1.494275,33,9.399393939393942
2,11,1127.7699999999995,564.0099999999999,0.2500000000001137,175.12233304977417,0.916153,1.586458,17,15.981176470588252
2,12,1171.1599999999996,589.3899999999996,6.519999999999754,119.74741220474243,0.836321,1.505817,24,11.670416666666677
2,13,1143.9200000000003,576.5100000000001,0.7600000000002183,123.36843180656433,0.875664,1.537966,19,15.738947368421039
2,14,994.2199999999999,502.01,1.900000000000091,145.71916604042053,0.838767,1.515369,15,22.85333333333332
2,15,1092.5700000000002,549.1800000000002,1.9899999999998954,122.04121589660645,0.843237,1.52184,23,13.044347826086936
2,16,1022.5900000000001,513.3799999999999,4.169999999999675,123.07019138336182,1.032579,1.719827,35,10.473714285714296
2,17,1129.5,565.5699999999999,1.6399999999998727,144.8419885635376,1.67632,2.363924,15,21.29866666666666
2,18,1069.17,536.84,4.509999999999991,178.8939688205719,0.979842,1.676705,9,33.744444444444426
2,19,1087.8600000000001,544.8699999999999,1.8799999999996544,181.24071049690247,0.845413,1.541324,12,27.597500000000025
