,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,0.0,20.32,26.23,27.19,27.25,23.38,30.52,26.01,27.9,23.57,25.22,21.4,29.23,26.28,30.68,32.2,39.11,29.1,27.74,40.49,29.38,37.17,24.63,31.34,27.94,27.3,30.22,32.19,24.71,26.97,25.83,27.23,27.29,24.09,37.39,32.05,27.79,23.51,22.58,29.68,25.49,21.33,21.34,27.34,28.16,24.22,23.95,28.26,28.05,23.12,21.48,15.5,26.48,22.07,25.95,20.79,19.59,22.39,18.97,21.93,20.57,27.85,33.19,26.04,29.41,29.02,26.85,23.3,27.85,31.32,24.79,29.16,25.12,39.27,21.39,25.92,31.97,30.12,27.33,29.83,31.02,29.0,14.75,18.79,14.61,20.49,28.17,31.36,28.21,26.5,26.5,26.5,30.76,29.54,28.01,14.21,29.09,31.13,26.35,28.93,23.77,32.25,31.96,25.85,26.61,37.35,24.19,21.65,31.61,23.22,29.47,34.67,34.66,35.54,27.29,23.25,29.63,23.94,29.13,20.2,42.59,25.94,31.56,24.98,27.29,32.58,36.69
2,20.32,0.0,6.1,7.09,7.01,3.11,10.22,5.77,7.61,4.0,5.27,3.96,8.98,6.49,10.43,11.9,18.8,9.08,7.99,20.18,9.51,16.91,7.51,11.61,9.29,8.99,10.87,12.66,9.04,9.45,9.24,9.64,9.72,9.57,17.48,13.08,11.81,14.49,17.42,14.6,32.91,3.96,3.88,8.24,8.59,4.28,3.98,8.25,8.03,2.88,1.17,5.46,6.32,1.76,5.72,0.78,1.32,2.1,2.47,1.85,1.53,7.53,12.96,5.76,9.1,8.7,6.56,3.49,7.54,11.01,4.8,8.86,5.21,19.04,3.95,5.96,11.65,9.84,7.27,9.58,10.74,8.86,11.8,7.11,12.13,5.94,8.34,11.21,8.51,7.4,7.41,7.41,10.74,9.71,8.76,17.29,9.61,11.28,7.96,9.77,7.86,12.43,12.24,8.48,8.74,17.17,8.52,9.65,12.17,9.28,10.83,14.86,14.94,15.75,10.51,10.94,12.1,11.97,12.14,20.51,22.85,14.75,14.92,16.25,33.14,20.75,43.98
3,26.23,6.1,0.0,0.99,1.2,3.62,4.5,2.8,3.02,5.03,4.0,7.6,4.3,4.64,5.47,6.56,12.96,5.28,5.34,14.35,5.97,11.54,8.78,7.9,7.98,8.25,8.0,9.12,10.72,9.38,10.11,9.43,9.48,11.79,12.82,10.27,12.22,17.8,21.38,14.9,38.1,5.65,5.59,3.34,2.93,2.03,2.28,2.16,1.94,3.22,5.02,11.54,0.29,4.51,0.61,5.88,7.18,4.32,8.2,5.02,6.52,2.34,6.97,2.43,3.47,3.2,2.44,4.7,2.66,5.31,3.92,3.8,4.1,13.04,7.59,4.01,6.12,4.85,4.09,4.78,5.58,4.73,17.38,11.92,17.71,10.05,5.33,6.54,5.75,6.36,6.36,6.36,6.53,6.24,6.78,22.89,6.9,7.38,7.61,7.52,9.94,8.41,8.43,8.99,8.6,12.0,10.45,13.19,8.85,11.97,8.99,10.56,10.77,11.41,10.71,13.86,11.12,14.72,11.63,25.32,18.2,17.12,14.04,19.29,38.07,21.77,48.84
4,27.19,7.09,0.99,0.0,0.84,4.54,3.69,3.26,2.86,5.81,4.58,8.46,3.92,5.02,4.91,5.84,12.04,5.1,5.45,13.42,5.8,10.73,9.35,7.58,8.18,8.53,7.88,8.8,11.27,9.72,10.57,9.75,9.8,12.39,12.17,10.08,12.56,18.46,22.11,15.18,38.96,6.45,6.39,3.0,2.25,2.97,3.24,1.2,0.98,4.21,6.0,12.52,0.79,5.49,1.45,6.86,8.16,5.29,9.17,5.98,7.48,2.04,6.02,2.91,2.75,2.57,2.63,5.54,2.45,4.49,4.59,3.32,4.7,12.08,8.45,4.46,5.34,4.31,4.22,4.32,4.94,4.49,18.3,12.79,18.64,10.88,5.36,6.03,5.8,6.71,6.71,6.71,6.14,6.07,6.92,23.82,6.87,7.04,7.99,7.56,10.56,8.0,8.07,9.44,8.97,11.25,11.04,13.93,8.6,12.63,9.04,10.04,10.27,10.87,11.05,14.52,11.26,15.34,11.83,26.14,17.52,17.67,14.13,19.9,38.9,22.08,49.64
5,27.25,7.01,1.2,0.84,0.0,4.22,3.35,2.55,2.03,5.27,3.91,7.98,3.17,4.23,4.29,5.37,11.88,4.29,4.61,13.26,4.99,10.36,8.62,6.82,7.35,7.71,7.06,8.05,10.54,8.92,9.79,8.94,8.98,11.68,11.62,9.28,11.75,17.78,21.47,14.35,38.45,6.84,6.78,3.84,3.03,3.17,3.39,1.72,1.55,4.14,5.87,12.37,0.9,5.32,1.31,6.69,7.99,5.07,8.94,5.71,7.22,1.24,5.95,2.21,2.29,2.0,1.83,5.07,1.63,4.16,3.97,2.63,4.03,12.04,7.98,3.71,4.94,3.67,3.39,3.63,4.38,3.69,17.93,12.34,18.27,10.38,4.52,5.37,4.96,5.91,5.91,5.91,5.41,5.26,6.08,23.43,6.04,6.29,7.19,6.73,9.87,7.29,7.33,8.67,8.17,10.81,10.33,13.31,7.82,11.95,8.21,9.39,9.61,10.24,10.24,13.83,10.42,14.63,11.0,25.59,17.0,16.92,13.29,19.19,38.35,21.26,49.07
6,23.38,3.11,3.62,4.54,4.22,0.0,7.23,2.66,4.52,1.93,2.35,4.06,5.88,3.61,7.33,8.82,15.79,6.01,5.05,17.16,6.48,13.81,6.14,8.6,6.82,6.73,8.01,9.7,8.0,7.51,7.75,7.64,7.71,8.89,14.39,10.29,10.2,14.62,18.03,13.01,34.5,5.09,5.0,6.57,6.49,2.61,2.38,5.74,5.52,1.31,1.96,8.21,3.75,1.37,3.08,2.59,3.85,1.01,4.73,1.51,3.01,4.52,10.06,2.66,6.12,5.7,3.47,1.38,4.48,8.0,1.9,5.78,2.33,16.12,4.05,2.98,8.6,6.74,4.2,6.48,7.64,5.76,13.77,8.32,14.1,6.52,5.35,8.1,5.58,4.89,4.89,4.89,7.65,6.7,6.04,19.28,6.74,8.23,5.78,7.02,7.01,9.39,9.22,6.76,6.72,14.06,7.61,9.87,9.24,8.89,8.25,11.8,11.89,12.69,8.74,10.75,9.88,11.69,10.11,21.77,19.77,14.28,12.81,16.22,34.52,19.61,45.31
7,30.52,10.22,4.5,3.69,3.35,7.23,0.0,4.81,2.94,7.71,6.02,10.46,2.29,5.61,1.98,2.21,8.59,3.66,4.99,9.97,4.2,7.04,9.96,5.09,7.49,8.13,6.05,6.19,11.71,9.43,10.66,9.36,9.38,12.96,8.6,7.79,12.03,19.11,23.01,14.28,40.5,10.13,10.07,5.73,4.45,6.52,6.74,3.15,3.26,7.41,9.06,15.44,4.22,8.48,4.64,9.81,11.08,8.18,11.93,8.73,10.21,2.71,2.93,4.66,1.12,1.53,3.86,7.71,2.81,0.81,6.3,1.81,6.15,8.89,10.46,5.48,1.65,1.73,4.3,2.08,1.68,3.11,20.51,14.74,20.85,12.66,4.61,3.02,5.0,6.83,6.83,6.83,3.62,4.4,6.21,25.93,5.55,4.53,8.03,6.37,11.35,5.14,5.38,9.59,8.84,7.57,11.66,15.06,6.21,13.43,7.71,6.73,7.03,7.49,10.65,15.23,10.05,15.87,10.84,27.53,13.89,17.8,12.61,20.31,40.21,21.16,50.8
8,26.01,5.77,2.8,3.26,2.55,2.66,4.81,0.0,1.93,2.93,1.37,5.69,3.22,1.86,4.68,6.2,13.25,3.43,2.83,14.61,3.97,11.16,6.08,6.09,5.27,5.47,5.75,7.25,8.01,6.58,7.33,6.64,6.69,9.13,11.76,8.07,9.43,15.23,18.93,12.12,36.02,7.07,6.99,6.12,5.52,3.51,3.52,4.27,4.1,3.39,4.61,10.72,2.7,4.03,2.24,5.23,6.43,3.67,7.18,4.08,5.49,2.19,7.73,0.37,3.74,3.31,0.96,2.9,2.0,5.53,1.53,3.19,1.5,13.69,5.69,1.21,6.03,4.11,1.7,3.82,5.01,3.12,15.74,10.02,16.08,7.99,2.98,5.45,3.32,3.57,3.57,3.57,5.03,4.22,4.16,21.19,4.53,5.68,4.81,5.01,7.32,6.82,6.7,6.21,5.8,11.4,7.79,10.78,6.85,9.4,6.43,9.2,9.32,10.1,7.91,11.28,8.43,12.08,8.89,23.12,17.15,14.4,11.38,16.65,35.87,18.98,46.57
9,27.9,7.61,3.02,2.86,2.03,4.52,2.94,1.93,0.0,4.79,3.09,7.53,1.43,2.8,2.84,4.29,11.32,2.27,2.71,12.68,2.97,9.3,7.27,4.88,5.46,5.92,5.03,6.1,9.12,7.18,8.22,7.17,7.21,10.33,10.11,7.26,9.97,16.49,20.32,12.48,37.65,8.36,8.28,5.83,4.88,4.6,4.73,3.39,3.3,5.0,6.45,12.64,2.77,5.86,2.76,7.11,8.34,5.52,9.11,5.98,7.41,0.85,5.86,1.86,1.94,1.52,1.06,4.82,0.42,3.62,3.38,1.26,3.22,11.77,7.53,2.56,4.11,2.23,1.61,2.01,3.12,1.71,17.58,11.81,17.91,9.74,2.53,3.75,2.98,4.28,4.28,4.28,3.56,3.24,4.16,23.0,4.01,4.37,5.56,4.73,8.63,5.44,5.43,7.1,6.48,9.59,9.0,12.26,5.83,10.72,6.21,7.69,7.87,8.57,8.49,12.57,8.46,13.28,9.09,24.7,15.52,15.4,11.3,17.8,37.42,19.41,48.06
10,23.57,4.0,5.03,5.81,5.27,1.93,7.71,2.93,4.79,0.0,1.74,2.76,5.89,2.71,7.3,8.89,16.02,5.54,4.2,17.36,5.83,13.7,4.22,7.85,5.3,5.06,6.95,8.81,6.08,5.7,5.84,5.86,5.93,6.99,13.86,9.11,8.32,12.83,16.36,11.14,33.18,6.87,6.78,8.24,7.96,4.47,4.28,6.95,6.76,3.23,3.11,8.1,5.08,2.71,4.43,3.25,4.12,2.38,4.6,2.18,3.07,5.12,10.64,3.16,6.66,6.23,3.89,0.6,4.92,8.4,1.41,6.01,1.62,16.54,2.76,2.4,8.83,6.8,3.81,6.46,7.7,5.5,12.81,7.11,13.15,5.11,4.61,7.84,4.69,3.41,3.41,3.41,7.2,5.99,4.79,18.27,5.71,7.58,4.06,5.79,5.11,8.72,8.47,4.88,4.93,13.81,5.7,8.17,8.29,7.05,6.84,11.16,11.19,12.04,6.89,8.93,8.21,9.83,8.35,20.33,19.14,12.39,11.1,14.39,33.09,17.69,43.83
